COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 2 for SkatO
EVX1-AS	16.638373903112566	0.0002437940000000002	0.000243794	NA	88	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EVX1	16.638373903112566	0.0002437940000000002	0.000243794	NA	88	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MRRF	16.41063482258851	0.00027319700000000003	0.000273197	NA	64	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KNOP1	16.19859137363016	0.0003037529999999999	0.000303753	NA	112	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF736	15.872218993731147	0.0003575950000000001	0.000357595	NA	78	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RELL1	15.751194466482502	0.0003799019999999999	0.000379902	NA	66	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MODERATE_HIGH_IMPACT_SNPEFF; MAF: 0.001; NUMVAR >= 2 for CMCWald
GENE	TEST_STAT	META_PVAL	UKB_ALL_CASES_PVAL	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	76.53317412938868	9.441816415490146e-16	1.77078e-15	0.013579	99.0	15.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TREML1	28.290245354143245	1.0892412277597797e-05	2.13559e-06	0.33677	73.0	9.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KNOP1	25.05689266569559	4.90018880710462e-05	0.000104305	0.0347264	112.0	18.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	17.701852366393165	0.00014324900000000008	0.000143249	NA	22.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TUBA1B	17.357143190180675	0.00017019400000000006	0.000170194	NA	18.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
H2BC21	22.353654066396402	0.00017041186577567498	0.00173633	0.00805997	16.0	3.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RUBCN	20.942061156286663	0.00032515589908495567	0.000196093	0.144553	233.0	40.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CELA3B	19.6189399035045	0.0005937528786089388	0.00012012	0.457284	68.0	9.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS20	14.825671542001578	0.0006034570000000001	0.000603457	NA	19.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ALOX12-AS1	19.551881030047817	0.0006120940590113551	0.0161315	0.00352118	117.0	13.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ALOX12	19.551881030047817	0.0006120940590113551	0.0161315	0.00352118	117.0	13.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF567	19.52698238136568	0.0006190458428599574	0.000158483	0.3629	86.0	7.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEPT5-GP1BB	19.412648525607473	0.0006519845821410234	8.46158e-05	0.71969	112.0	5.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENDOU	19.35517963925525	0.0006691898984812878	0.00911182	0.00687814	81.0	15.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MET	19.30391753387612	0.0006849155788060554	0.00257763	0.0249452	224.0	25.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
XKR7	19.198691697638196	0.0007183500578463036	0.140271	0.000483158	108.0	13.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IPO4	19.188126085814147	0.0007217950750062042	0.000602789	0.113028	236.0	28.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NOP53	18.905927456174723	0.0008201049980153204	0.00624516	0.0125628	146.0	28.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ATP6V0E1	14.174527193293425	0.0008356809999999999	0.000835681	NA	11.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LRRC56	18.76985133458583	0.0008721314781817567	0.0849443	0.000988654	145.0	19.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ADGB	18.549146912168787	0.0009635355159932043	0.00197489	0.0474855	315.0	54.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEPTIN5	18.44303031189239	0.0010107927771497557	0.000113285	0.87292	68.0	6.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
BCO2	18.22427148688427	0.0011155591921861432	0.0180614	0.00610799	107.0	13.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OPRM1	18.143368401620585	0.0011569636384238028	0.0191952	0.00598446	205.0	36.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MODERATE_HIGH_IMPACT_SNPEFF; MAF: 0.01; NUMVAR >= 2 for SkatO
GENE	TEST_STAT	META_PVAL	UKB_ALL_CASES_PVAL	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	67.4405038044299	7.871609440138869e-14	2.15206e-10	1.05348e-05	101.0	17.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LRRK2	33.526786061370416	9.317015840277236e-07	0.251545	2.08514e-07	436.0	58.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PSIP1	27.17942525609604	1.8285613365151674e-05	0.000659883	0.00189931	97.0	9.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TUBA1B	21.446501328338435	2.202679999999999e-05	2.20268e-05	NA	18.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAP1A	20.088457748693592	4.343570000000004e-05	4.34357e-05	NA	29.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	19.52142205629585	5.7673599999999935e-05	5.76736e-05	NA	22.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPUSD1	23.682470713924225	9.247484912890189e-05	0.559054	1.28814e-05	136.0	32.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
AGAP7P	17.28645409332706	0.00017631699999999997	0.000176317	NA	3.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NCAM1	22.257518510180574	0.00017809742522795655	3.27104e-05	0.448906	184.0	27.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF274	22.17550475926659	0.00018492510740614296	8.28135e-05	0.184735	117.0	11.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RUSF1	21.915722215340608	0.00020831228952197174	0.000154746	0.112575	155.0	30.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CCDC73	21.59132727123714	0.00024167138684541976	0.226811	9.03314e-05	163.0	27.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SORBS3	21.343148093757016	0.00027072209853149453	0.221396	0.000104767	196.0	37.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DCDC2C	21.213577824318552	0.0002872381962909328	0.310124	7.97985e-05	76.0	11.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAP1GDS1	20.782756212756222	0.00034966977684533626	0.0372991	0.000822969	104.0	19.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SLC38A5	15.543111116697137	0.0004215569999999999	0.000421557	NA	41.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
H2BC21	20.333190418498354	0.0004291652743733072	0.00859442	0.00447185	17.0	3.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EIF3CL	15.172512481910761	0.0005073770000000003	0.000507377	NA	9.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EIF3C	15.172512481910761	0.0005073770000000003	0.000507377	NA	9.0	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CRTAC1	19.95183043300661	0.0005104530618698501	0.0144414	0.00322037	166.0	28.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS14	19.74281263180209	0.0005612914620002563	7.31445e-05	0.705864	18.0	3.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ROR2	19.686019669842704	0.0005759502817488104	9.20695e-05	0.576925	214.0	48.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PANX1	19.43830428328319	0.0006444456420646073	0.000122018	0.492722	88.0	13.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FLNC	19.39779220714059	0.0006563899331546851	0.00141819	0.0432602	528.0	85.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MODERATE_HIGH_IMPACT_SNPEFF; MAF: 0.01; NUMVAR >= 2 for CMCWald
GENE	TEST_STAT	META_PVAL	UKB_ALL_CASES_PVAL	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	91.63535379084804	5.916237648502759e-19	1.04386e-15	1.21058e-05	101.0	17.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NCAM1	23.722639396789766	9.077783914302472e-05	2.83138e-05	0.249285	184.0	27.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	17.701852366393165	0.00014324900000000008	0.000143249	NA	22.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ABCC3	22.517627189296356	0.00015805484905782966	0.000231495	0.0556952	384.0	65.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TUBA1B	17.357143190180675	0.00017019400000000006	0.000170194	NA	18.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CRTAC1	21.74196628094355	0.00022556862769871052	0.00827149	0.00229725	166.0	28.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DCDC2C	21.17223733048176	0.0002927150491975967	0.411024	6.14667e-05	76.0	11.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS20	14.825671542001578	0.0006034570000000001	0.000603457	NA	19.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
H2BC21	19.262778512710216	0.0006977997548685257	0.00814343	0.00805997	17.0	3.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PLCD3	19.23743925348021	0.000705854677673331	8.37084e-05	0.794098	173.0	28.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
XKR7	18.911380086535846	0.0008180854937007836	0.161941	0.000483158	109.0	13.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IPO4	18.846983431776636	0.0008422534005710006	0.00334706	0.0241416	237.0	31.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF567	18.83505182477657	0.0008468081953844031	0.000158483	0.512906	86.0	9.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FLNC	18.590778195478197	0.0009455980597872075	0.000512389	0.179252	528.0	85.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CIAO2A	18.590754541608234	0.0009456081571016893	0.02597	0.00353669	29.0	6.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SBK1	13.8108360250373	0.00100234	0.00100234	NA	74.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEPTIN5	18.44303031189239	0.0010107927771497557	0.000113285	0.87292	68.0	6.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CCDC73	18.35541143838288	0.001051533078561837	0.139858	0.00073873	163.0	27.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNFX1	18.27133722499367	0.0010921491091691782	0.000158517	0.679757	294.0	45.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KBTBD13	18.09646605355021	0.001181658609744532	0.00799485	0.0147093	154.0	16.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EMC9	17.92815346963519	0.0012746413472197416	0.000193996	0.659414	37.0	5.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LOC101928123	13.296729324389885	0.0012961400000000005	0.00129614	NA	12.0	NA	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FMNL2	17.88827950875375	0.0012977070933705326	0.0150744	0.00865704	141.0	17.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
INSM2	17.67490529263746	0.0014283207203840578	0.00849509	0.0170913	105.0	14.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE_and_CADD_20_VEP; MAF: 0.001; NUMVAR >= 2 for SkatO
GENE	TEST_STAT	META_PVAL	UKB_ALL_CASES_PVAL	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	52.66445535906901	1.0016911858797609e-10	2.15206e-10	0.0170296	76.0	8.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PSIP1	27.847196984097167	1.3394655945917213e-05	0.000245256	0.00365964	93.0	8.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF274	25.749655796246554	3.554355748081124e-05	5.17049e-06	0.495452	51.0	5.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TMSB4X	18.777264916005276	8.366979999999999e-05	8.36698e-05	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TREML1	23.690654713033567	9.212656303427375e-05	1.13658e-05	0.631015	22.0	3.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PHC2-AS1	22.40213597365448	0.00016666170827286524	1.36596e-05	1.0	21.0	2.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
COL8A1	22.27222652983016	0.0001768996934069869	0.000166959	0.0873047	92.0	13.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GPR19	22.0844517139478	0.00019280975852003636	0.096336	0.000166201	53.0	4.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MVD	21.704033993684348	0.00022952033355016265	9.95441e-05	0.194542	95.0	19.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
VPS37B	21.40868221279751	0.0002627306227787504	3.75017e-05	0.598567	60.0	5.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LURAP1L	21.355009674800968	0.0002692580055060515	0.245783	9.38138e-05	52.0	8.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
XKR7	21.301673037292765	0.0002759037356296836	0.119244	0.000198593	104.0	13.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SAMSN1-AS1	16.172991557958234	0.0003076659999999999	0.000307666	NA	5.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CDKN2C	15.888899329670517	0.0003546250000000002	0.000354625	NA	26.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPL36A	15.839759655469166	0.0003634459999999998	0.000363446	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FAM229A	20.68706738919708	0.0003652655876588732	0.000183598	0.175385	34.0	9.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KRTAP19-8	15.657122377896998	0.00039819800000000005	0.000398198	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZC3H4	20.47555702764693	0.0004022256413147956	8.34274e-05	0.429023	342.0	22.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
