COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
EDC3	-6.561258405722613	5.33555666135982e-11	-1.18291	0.518446	0.0225106	-0.285789	0.342043	0.403417	-0.452233	0.167048	0.00678505	-0.223861172664013	0.303798582712795	0.461199185142674	14.0	8.0	32.0	24.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PTGDR	-6.550334460350095	5.740836242391416e-11	-0.379447	0.241944	0.116805	-0.252664	0.180554	0.161698	-0.528964	0.243619	0.0299107	-0.561798828805274	0.398057430828382	0.158141087418818	18.0	9.0	47.0	24.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
NUP210	6.495917190045109	8.252904637234188e-11	0.416758	0.13336	0.00177768	0.0927019	0.113463	0.413915	0.081754	0.0616579	0.184863	0.1465591679389	0.119357090860719	0.21948263458509	95.0	37.0	261.0	132.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CES4A	6.456567192983375	1.0710463905431073e-10	1.12211	0.450279	0.0127016	NA	NA	NA	0.284944	0.162492	0.0795011	0.599162371182286	0.270998118818186	0.0270395347009033	8.0	NA	39.0	20.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SNX27	-6.435037486320848	1.2344286099553587e-10	-0.684003	0.274521	0.0127161	-0.645474	0.228581	0.00474535	0.0272311	0.0949923	0.774368	-0.280761961512202	0.199652980855938	0.159649965301536	32.0	10.0	63.0	26.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
STK38L	6.434779746610324	1.2365250279274802e-10	0.721044	0.845099	0.393545	NA	NA	NA	0.480949	0.310477	0.121366	3.24090182845821	0.803693762927899	5.51846481277504e-05	7.0	NA	34.0	9.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LRRK2	6.332607616531952	2.410520408178544e-10	0.145556	0.142558	0.307243	0.322983	0.112698	0.00415788	-0.0156536	0.0651079	0.810001	0.287407260203841	0.10699848866288	0.0072294240094887	108.0	49.0	303.0	118.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TMEM209	6.281663614548055	3.349690179085457e-10	0.0486138	0.211423	0.818141	0.472813	0.172651	0.00617103	0.186045	0.0868111	0.0321047	0.241517068731887	0.206411049332139	0.241969501128421	31.0	15.0	89.0	43.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
FDFT1	-6.281662230367678	3.349720009342675e-10	-0.472992	0.230008	0.0397428	-0.204414	0.376958	0.587631	-0.181521	0.0915711	0.047446	-0.609704917680856	0.358506872937428	0.0890033814362032	44.0	11.0	122.0	52.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CGN	6.2501853153185865	4.099659576387616e-10	0.12869	0.132694	0.332135	0.249448	0.0991477	0.0118721	0.0729982	0.0678847	0.282229	0.216654767742938	0.128265594767221	0.0911982488128765	78.0	36.0	207.0	112.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
L3HYPDH	-6.240808487957725	4.3531496100222355e-10	-1.29128	0.461331	0.00512565	0.120154	0.243003	0.620986	-0.170147	0.122177	0.163734	-0.869139815675804	0.34169610373272	0.0109715170200671	28.0	12.0	72.0	34.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DCDC2C	6.230498416964192	4.6495352822662226e-10	0.287274	0.463292	0.535211	0.653973	0.164432	6.9745e-05	0.274428	0.186122	0.14036	0.0657503239186211	0.414015607337912	0.873817608306816	12.0	9.0	42.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MRPL42	6.220471859229988	4.956619634060221e-10	0.34233	0.665572	0.607015	NA	NA	NA	0.949451	0.238973	7.09598e-05	0.984260546577692	0.567923940110054	0.0830805354961692	10.0	NA	27.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
IPP	-6.1549957652603995	7.507950169864985e-10	-0.345748	0.360137	0.337031	-0.12705	0.309252	0.681198	-0.459578	0.180615	0.0109431	-0.66889815753109	0.298668228020101	0.0251167299651378	29.0	10.0	84.0	42.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
 
