COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 3
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
BOLA1	6.77392975686749	1.2533054046756035e-11	1.11014	0.566144	0.0498924	0.889975	0.603173	0.140081	1.17157331155303	0.351026706700978	0.0008451693777209	8.0	4.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
MTFR2	6.365079040932352	1.951891938298805e-10	0.767851	0.361319	0.0335757	1.22233	0.511325	0.0168252	0.622533588322601	0.336608170367731	0.0643956012248935	17.0	6.0	21.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PDE9A	6.346675509435969	2.2001751528857217e-10	0.722917	0.307692	0.0187997	0.490727	0.298069	0.0996906	0.735448407937654	0.312845048597393	0.0187311258523464	33.0	15.0	31.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NECAP1	6.073418635102273	1.2521545749620836e-09	1.01139	0.554929	0.0683718	1.72121	0.846149	0.0419347	0.861285057882837	0.388545169024279	0.0266441299909345	9.0	3.0	13.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ADH5	6.046006543991165	1.4848006776607854e-09	1.77613	0.406549	1.24927e-05	0.190214	0.591821	0.747904	0.423117374838916	0.312078327695277	0.175161201920928	19.0	6.0	29.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RECK	-5.895532188022276	3.73475693616515e-09	-0.863249	0.427869	0.0436378	-0.46593	0.338643	0.16886	-0.844637275847417	0.337570805088855	0.0123457638021058	46.0	17.0	49.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
AHI1	5.85839241047198	4.673692471478173e-09	0.599679	0.296782	0.0433209	0.729088	0.346216	0.0352154	0.396894610056122	0.229165580622071	0.0832892388401876	43.0	16.0	78.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ABCD2	5.839953986371029	5.221524166582706e-09	1.67133	0.584964	0.0042747	0.277665	0.414974	0.503422	0.731622865960789	0.316214788755351	0.0206847551541819	11.0	7.0	32.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ANKRD29	-5.780807276007339	7.4343017304419456e-09	-1.85242	1.01664	0.0684409	-1.01467	0.516456	0.0494504	-0.932573957923367	0.467683359166421	0.0461489375085295	21.0	10.0	31.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PURG	5.746125908186876	9.1311324548057e-09	1.54554	0.391313	7.82698e-05	0.251032	0.475528	0.597568	0.644578538780347	0.508102954654507	0.204584374982312	17.0	4.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ASZ1	5.741410165415598	9.389136414813302e-09	0.748465	0.322579	0.020327	0.564953	0.351217	0.107713	0.48859944124957	0.269557443026842	0.0698937553939041	19.0	9.0	40.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
BRWD1	-5.694304903675323	1.2387554116623807e-08	-0.488528	0.308964	0.113837	-0.622511	0.286715	0.0299173	-0.46489796878891	0.239398729959641	0.0521443647260373	61.0	19.0	89.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
IRS1	5.689168311812768	1.2765959472509695e-08	0.567749	0.229471	0.0133549	0.431998	0.239232	0.0709538	0.304796033580811	0.216284946835716	0.158766079088062	71.0	25.0	96.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
KIF9	5.670706815982509	1.4220958163518945e-08	0.978421	0.226769	1.59885e-05	0.236196	0.251506	0.347665	0.0874695094946334	0.209776722416658	0.67670415334947	47.0	20.0	59.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
UBXN6	5.67010925949058	1.4270648219792627e-08	0.831992	0.239038	0.000500315	0.092722	0.331781	0.779886	0.440031169544376	0.230375923820923	0.0561258614663999	51.0	17.0	48.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TTC12	5.649553055327653	1.6086553220529498e-08	0.797662	0.313289	0.0108937	0.185709	0.348049	0.593639	0.835114040869961	0.324960804003061	0.0101730341555786	30.0	16.0	30.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
AGAP3	5.602887252202323	2.1081036044998083e-08	0.817147	0.266566	0.00217337	0.709406	0.291699	0.0150165	0.026667838353337	0.252897370823327	0.916019337162023	45.0	19.0	54.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ITIH5	5.5043167809793685	3.7060264981305974e-08	0.137852	0.234966	0.557412	0.548943	0.192315	0.004312	0.394126966209321	0.19102401900935	0.0390905427623405	50.0	25.0	70.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TPSG1	5.487608197629058	4.07412472087293e-08	0.946891	0.347722	0.00646678	0.157762	0.303958	0.603744	0.584948048764301	0.260503008294169	0.0247388724390302	21.0	15.0	35.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TKFC	5.470239654616776	4.4942744347991984e-08	0.115215	0.273093	0.673107	0.987247	0.317405	0.00186856	0.482641067665392	0.249043320362256	0.0526256167514587	60.0	20.0	41.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NSMCE4A	5.453206313141873	4.946961735393814e-08	0.43336	0.322281	0.178733	0.783957	0.353155	0.0264276	0.744894865339268	0.394400843999484	0.058935441042851	24.0	9.0	19.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TMEM151A	-5.38273826546608	7.336117311741582e-08	-0.91727	0.603208	0.128347	-1.12351	0.428782	0.00878681	-1.89141055074731	1.5230594801567	0.214292120361903	23.0	7.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE_and_CADD_20_VEP; MAF: 0.01; NUMVAR >= 3
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	13.29876332977809	2.3532839294042115e-40	0.681068	0.173446	8.61206e-05	0.570242	0.134312	2.17967e-05	0.665562299143836	0.129829707893833	2.95295141531058e-07	27.0	10.0	19.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NAALADL1	6.809902121418903	9.766517043216563e-12	0.327801	0.200709	0.102423	0.33353	0.158157	0.0349575	0.532603518580831	0.173609031848876	0.0021561707136018	46.0	26.0	67.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SNX27	-6.72170387928112	1.796116918400559e-11	-0.684003	0.274521	0.0127161	-0.645474	0.228581	0.00474535	-0.280761961512202	0.199652980855938	0.159649965301536	32.0	10.0	26.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
EEA1	6.6311396433913155	3.3310490916496516e-11	0.631861	0.142799	9.65157e-06	0.0862854	0.119447	0.470063	0.24462722630152	0.164850054054992	0.137825422985216	47.0	25.0	60.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LRRK2	6.573033125571562	4.9300484538795416e-11	0.145556	0.142558	0.307243	0.322983	0.112698	0.00415788	0.287407260203841	0.10699848866288	0.0072294240094887	108.0	49.0	118.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TMEM151A	-6.397424621292573	1.5801944386825412e-10	-0.417244	0.298251	0.161821	-0.715254	0.190399	0.000172228	-1.89141055074731	1.5230594801567	0.214292120361903	26.0	11.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
MIER2	-6.2926847652170625	3.120215858103115e-10	-0.0865955	0.303442	0.775355	-1.06721	0.349501	0.00226177	-0.654981577285064	0.221743337288428	0.0031390521015556	22.0	15.0	38.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NECAP1	6.073418635102273	1.2521545749620836e-09	1.01139	0.554929	0.0683718	1.72121	0.846149	0.0419347	0.861285057882837	0.388545169024279	0.0266441299909345	9.0	3.0	13.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NIPA2	5.998895392163115	1.9866428026272647e-09	0.911784	0.321039	0.00450987	0.354773	0.406908	0.383277	0.655562995107693	0.286658019854081	0.0222006892703935	17.0	4.0	20.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TSPO	5.948040793878651	2.713709719270646e-09	0.645269	0.5226	0.216932	0.765844	0.437512	0.0800402	1.05435336294678	0.355856631633898	0.0030479520878643	7.0	6.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ENPP2	-5.90019177105716	3.630793106243827e-09	-0.369747	0.182105	0.0423157	-0.186898	0.134877	0.165841	-0.325696788669937	0.131112903662084	0.0129881486756233	48.0	17.0	63.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ERICH3	-5.896989201198427	3.7019407802626157e-09	-0.525519	0.252104	0.0371117	-0.540442	0.189552	0.00435598	-0.163338930789663	0.169914215598475	0.336400178403425	26.0	12.0	44.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NSMCE4A	5.8126981109310085	6.147386476618906e-09	0.435209	0.24875	0.0801904	0.494498	0.227414	0.0296721	0.744894865339268	0.394400843999484	0.058935441042851	25.0	11.0	19.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ANKRD29	-5.780807276007339	7.4343017304419456e-09	-1.85242	1.01664	0.0684409	-1.01467	0.516456	0.0494504	-0.932573957923367	0.467683359166421	0.0461489375085295	21.0	10.0	31.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ASZ1	5.741410165415598	9.389136414813302e-09	0.748465	0.322579	0.020327	0.564953	0.351217	0.107713	0.48859944124957	0.269557443026842	0.0698937553939041	19.0	9.0	40.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SPATA25	-5.734059791739168	9.805473883406704e-09	-0.770415	0.397708	0.0527288	-0.785975	0.262013	0.00270194	-0.408911578884711	0.512956134868363	0.425354189429075	9.0	3.0	16.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
KIF9	5.670706815982509	1.4220958163518945e-08	0.978421	0.226769	1.59885e-05	0.236196	0.251506	0.347665	0.0874695094946334	0.209776722416658	0.67670415334947	47.0	20.0	59.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LSR	5.661828565582032	1.4976840998634392e-08	0.631478	0.215837	0.00343661	0.312946	0.174118	0.0722847	0.163447117651848	0.174104003374148	0.347838514214644	40.0	23.0	52.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TTC12	5.649553055327653	1.6086553220529498e-08	0.797662	0.313289	0.0108937	0.185709	0.348049	0.593639	0.835114040869961	0.324960804003061	0.0101730341555786	30.0	16.0	30.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
AHI1	5.6367292701233165	1.7331024943753736e-08	0.234344	0.15833	0.138846	0.273719	0.13268	0.0391128	0.250461247222622	0.119630165192531	0.0362929943676782	46.0	19.0	81.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ALDH1B1	-5.624017150991492	1.8656711484162613e-08	-0.266286	0.168236	0.113464	-0.297946	0.164224	0.0696361	-0.344854398803557	0.15485578819728	0.0259513488658518	32.0	14.0	55.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GPLD1	-5.612788896358741	1.990914295085795e-08	-0.376313	0.208857	0.0715818	-0.357045	0.185873	0.0547438	-0.271079999304863	0.143420446029028	0.0587436414905866	40.0	14.0	62.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ANKRD23	5.580923235070182	2.392452259223668e-08	-0.0980214	0.330131	0.76653	0.477042	0.244129	0.050694	0.843759058161439	0.2150371448078	8.71693174891259e-05	19.0	11.0	29.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ZBBX	5.548298255023877	2.8846348554487177e-08	0.554206	0.218635	0.0112498	0.150602	0.226351	0.505828	0.408998599480771	0.174182390813872	0.0188691847052808	20.0	8.0	35.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
 
